Topic,Count,Name,Representation,Representative_Docs,tweets_count
9,552,9_Political discussions in social media,['Political discussions in social media'],"['gabriela prioli abrindo twitter aulas politica q deu anitta nao serviram quase nada htt', 'gabriela prioli abrindo twitter aulas politica q deu anitta nao serviram quase nada htt', 'gabriela prioli abrindo twitter aulas politica q deu anitta nao serviram quase nada htt']",552.0
10,517,10_Social media trends,['Social media trends'],"['devia curso felipe neto ma preferiu gabriela prioli', 'devia curso felipe neto ma preferiu gabriela prioli', 'devia curso felipe neto ma preferiu gabriela prioli']",517.0
11,507,11_Brazilian political figures in media,['Brazilian political figures in media'],"['flow ja entrevistou guilherme boulos fernando haddad tabata amaral ciro gomes gabriela prioli voce acha', 'flow ja entrevistou guilherme boulos fernando haddad tabata amaral ciro gomes gabriela prioli voce acha', 'flow ja entrevistou guilherme boulos fernando haddad tabata amaral ciro gomes gabriela prioli voce acha']",507.0
12,497,12_Political commentary and satire,['Political commentary and satire'],"['desmascarado sem resposta lula usa argumento classico gabriela prioli risinho deboche', 'desmascarado sem resposta lula usa argumento classico gabriela prioli risinho deboche', 'desmascarado sem resposta lula usa argumento classico gabriela prioli risinho deboche']",497.0
13,440,13_Unknown / Unintelligible content,['Unknown / Unintelligible content'],"['volta esgoto t c vxvu yfx', 'volta esgoto t c vxvu yfx', 'volta esgoto t c vxvu yfx']",440.0
14,359,14_Political controversies in Brazil,['Political controversies in Brazil'],"['bolsonaro odeia mulheres apresentadora gabriela prioli contou atraves redes sociais alvo at', 'bolsonaro odeia mulheres apresentadora gabriela prioli contou atraves redes sociais alvo at', 'bolsonaro odeia mulheres apresentadora gabriela prioli contou atraves redes sociais alvo at']",359.0
15,328,15_Social media commentary on political figures,['Social media commentary on political figures'],"['gabriela prioli ta refutando story mentiras bolsonaro ta falando link print tempo real', 'gabriela prioli ta refutando story mentiras bolsonaro ta falando link print tempo real', 'gabriela prioli ta refutando story mentiras bolsonaro ta falando link print tempo real']",328.0
16,323,16_Political support for women's issues in Brazil,"[""Political support for women's issues in Brazil""]","['lula solidarizar mulheres atacadas bolsonaro so semana vera magalhaes s', 'lula solidarizar mulheres atacadas bolsonaro so semana vera magalhaes s', 'lula solidarizar mulheres atacadas bolsonaro so semana vera magalhaes s']",323.0
17,302,17_Political commentary on Brazilian public figures,['Political commentary on Brazilian public figures'],"['lula solidariza gabriela prioli atacada bolsonaro apos comentario bolsonaro apresentadora passou rec', 'lula solidariza gabriela prioli atacada bolsonaro apos comentario bolsonaro apresentadora passou rec', 'lula solidariza gabriela prioli atacada bolsonaro apos comentario bolsonaro apresentadora passou rec']",302.0
18,291,18_Social media reactions to political commentary,['Social media reactions to political commentary'],"['online lula detona bolsonaro piada gabriela prioli nao respeitar mulheres t qws hv', 'online lula detona bolsonaro piada gabriela prioli nao respeitar mulheres t qws hv', 'online lula detona bolsonaro piada gabriela prioli nao respeitar mulheres t qws hv']",291.0
19,286,19_Political commentary in Brazilian context,['Political commentary in Brazilian context'],"['gabriela prioli elogia fato ciro unico candidato projeto t pnz ralexc', 'gabriela prioli elogia fato ciro unico candidato projeto t pnz ralexc', 'gabriela prioli elogia fato ciro unico candidato projeto t pnz ralexc']",286.0
20,236,20_Pop culture references,['Pop culture references'],"['gabriela prioli lulou inclusive direito vermelho gloria groove t nky lcuvbh', 'gabriela prioli lulou inclusive direito vermelho gloria groove t nky lcuvbh', 'gabriela prioli lulou inclusive direito vermelho gloria groove t nky lcuvbh']",236.0
21,227,21_Political disputes and controversies in media,['Political disputes and controversies in media'],"['pensa raiva rubens menin dono cnn paga balao dinheiro gabriela prioli programa entreg', 'pensa raiva rubens menin dono cnn paga balao dinheiro gabriela prioli programa entreg', 'pensa raiva rubens menin dono cnn paga balao dinheiro gabriela prioli programa entreg']",227.0
22,189,22_Political opinions and commentary on current events,['Political opinions and commentary on current events'],"['gabriela prioli expondo odio bolsonaro mulheres atual presidente existe pior hum', 'gabriela prioli expondo odio bolsonaro mulheres atual presidente existe pior hum', 'gabriela prioli expondo odio bolsonaro mulheres atual presidente existe pior hum']",189.0
23,177,23_Political conflict involving Gabriela Prioli and Bolsonaro,['Political conflict involving Gabriela Prioli and Bolsonaro'],"['gabriela prioli bolsonaro colocou militancia ataca apresentadora desabafou apos presidente alfineta l', 'gabriela prioli bolsonaro colocou militancia ataca apresentadora desabafou apos presidente alfineta', 'gabriela prioli bolsonaro colocou militancia ataca apresentadora desabafou apos presidente alfineta l']",177.0
24,173,24_Brazilian pop culture references,['Brazilian pop culture references'],"['famosos perdessem palavras sumiriam luisa sonza raba anitta vagina toguro shape felipe neto bol', 'famosos perdessem palavras sumiriam luisa sonza raba anitta vagina toguro shape felipe neto bol', 'famosos perdessem palavras sumiriam luisa sonza raba anitta vagina toguro shape felipe neto bol']",173.0
25,157,25_Political support and activism,['Political support and activism'],"['lula solidariza gabriela prioli atacada bolsonaro leia mais t hjuefuz t t rgfmqfb zf', 'lula solidariza gabriela prioli atacada bolsonaro leia mais t hjuefuz t t rgfmqfb zf', 'lula solidariza gabriela prioli atacada bolsonaro leia mais t hjuefuz t t rgfmqfb zf']",157.0
26,145,26_Political insults and accusations,['Political insults and accusations'],"['rogers lula vagabundo mentiroso desgracado institutos pesquisas sao fraudulentos gabriela priol', 'rogers lula vagabundo mentiroso desgracado institutos pesquisas sao fraudulentos gabriela priol', 'rogers lula vagabundo mentiroso desgracado institutos pesquisas sao fraudulentos gabriela priol']",145.0
27,136,27_Unintelligible text or gibberish,['Unintelligible text or gibberish'],"['candidata moro ta lendo gabriela prioli jatinho classe retrato via braco auxiliar l', 'candidata moro ta lendo gabriela prioli jatinho classe retrato via braco auxiliar l', 'candidata moro ta lendo gabriela prioli jatinho classe retrato via braco auxiliar l']",136.0
28,117,28_Media opinions on political figures,['Media opinions on political figures'],"['gabriela prioli veja jamais convidaria bolsonaro programa ninguem assiste anunciantes devem disco', 'gabriela prioli veja jamais convidaria bolsonaro programa ninguem assiste anunciantes devem disco', 'gabriela prioli veja jamais convidaria bolsonaro programa ninguem assiste anunciantes devem disco']",117.0
29,114,29_Tema Indefinido,['Tema Indefinido'],"['essencialmente errada nao gente precisa parar transformar pessoas publicas opinadoras gerais re', 'essencialmente errada nao gente precisa parar transformar pessoas publicas opinadoras gerais re', 'essencialmente errada nao gente precisa parar transformar pessoas publicas opinadoras gerais re']",114.0
30,109,30_Political banter in Brazilian online conversations,['Political banter in Brazilian online conversations'],"['gabriela prioli nao tomava surra conceitual coppolla kkkkkk', 'za pcb reproduziu diagrama gabriela prioli kkkkkk', 'hmmm gabriela prioli ii kkkkkk']",109.0
31,100,31_Support for Gabriela Prioli,['Support for Gabriela Prioli'],"['solidariedade gabriela prioli mais mulher atacada presidente detesta brasileiras', 'solidariedade gabriela prioli mais mulher atacada presidente detesta brasileiras', 'solidariedade gabriela prioli mais mulher atacada presidente detesta brasileiras']",100.0
32,97,32_Political endorsement by journalists,['Political endorsement by journalists'],"['surpresa jornalista gabriela prioli cnn declara voto lula t mat fsbkom', 'surpresa jornalista gabriela prioli cnn declara voto lula t mat fsbkom', 'surpresa jornalista gabriela prioli cnn declara voto lula t mat fsbkom']",97.0
33,95,33_Political attacks on women by Bolsonaro,['Political attacks on women by Bolsonaro'],"['bolsonaro atacou gabriela prioli pq esporte favorito atacar mulheres pode receber milhares criticas ma', 'bolsonaro atacou gabriela prioli pq esporte favorito atacar mulheres pode receber milhares criticas ma', 'bolsonaro atacou gabriela prioli pq esporte favorito atacar mulheres pode receber milhares criticas ma']",95.0
34,93,34_Web scraping or data extraction,['Web scraping or data extraction'],"['gusttavo lima belo horizonte gabriela prioli m jornal nacional nordeste flamengo cristaos evangelicos aborto t nokl ujlb', 'mara gabrilli gusttavo lima belo horizonte gabriela prioli mina gerais nordestinos jornal nacional nordeste flamengo cristaos t yxof v xdd', 'eduardo leite gabriela prioli mina gerais nordestinos jornal nacional cristaos evangelicos aborto t lnzlbvcem']",93.0
35,92,35_Repetitive text about a meme and political discussion in Portuguese,['Repetitive text about a meme and political discussion in Portuguese'],"['achei meme ma nao candidata presidente aprendendo politica jatinho livro gabriel', 'achei meme ma nao candidata presidente aprendendo politica jatinho livro gabriel', 'achei meme ma nao candidata presidente aprendendo politica jatinho livro gabriel']",92.0
36,91,36_Repetitive Conversations about Gabriela Prioli,['Repetitive Conversations about Gabriela Prioli'],"['gabriela prioli video falar nao ia video mona voce so nao fica quieta', 'gabriela prioli video falar nao ia video mona voce so nao fica quieta', 'gabriela prioli video falar nao ia video mona voce so nao fica quieta']",91.0
37,85,37_Unreadable text or gibberish,['Unreadable text or gibberish'],"['t kq z gt w', 't kq z gt w', 't kq z gt w']",85.0
38,83,38_Reflexões sobre as dificuldades financeiras em universidades brasileiras,['Reflexões sobre as dificuldades financeiras em universidades brasileiras'],"['fico imaginando pessoa universidades ficando sem dinheiro ate papel higienico pensou hm gabriela pr', 'fico imaginando pessoa universidades ficando sem dinheiro ate papel higienico pensou hm gabriela pr', 'fico imaginando pessoa universidades ficando sem dinheiro ate papel higienico pensou hm gabriela pr']",83.0
39,81,39_Unknown topic related to social media content,['Unknown topic related to social media content'],"['gabriela prioli dando desculpa enxoval ny lembra gravida lala manaus tava liderando', 'gabriela prioli dando desculpa enxoval ny lembra gravida lala manaus tava liderando', 'gabriela prioli dando desculpa enxoval ny lembra gravida lala manaus tava liderando']",81.0
40,75,40_Undefined context or possible spam,['Undefined context or possible spam'],"['gabriela prioli anitta t kfsfnvszpr', 'gabriela prioli anitta t kfsfnvszpr', 'gabriela prioli anitta t kfsfnvszpr']",75.0
41,71,41_Social media interactions in Portuguese,['Social media interactions in Portuguese'],"['tweet poderia whatsapp gabriela prioli ia poupar tanto', 'tweet poderia whatsapp gabriela prioli ia poupar tanto', 'tweet poderia whatsapp gabriela prioli ia poupar tanto']",71.0
42,66,"42_(Unclear topic, could be related to Brazilian politics or media)","['(Unclear topic, could be related to Brazilian politics or media)']","['coluna gabriela prioli nao bolsonaro programa cnn t fvxysxtiu', 'coluna gabriela prioli nao bolsonaro programa cnn t fvxysxtiu', 'coluna gabriela prioli nao bolsonaro programa cnn t fvxysxtiu']",66.0
43,65,43_Indecipherable text,['Indecipherable text'],"['t k oos am', 't k oos am', 't k oos am']",65.0
44,63,44_Repeated phrases and expressions,['Repeated phrases and expressions'],"['enche cu droga gabriela prioli sai falando merda', 'fuder gabriela prioli falando tava cansada respondeu jeito fuder cansad', 'fuder gabriela prioli falando tava cansada respondeu jeito fuder cansad']",63.0
45,62,45_Incoherent text or code,['Incoherent text or code'],"['volta esgoto t c vxvu yfx', 'volta esgoto t c vxvu yfx', 'volta esgoto t c vxvu yfx']",62.0
46,61,46_Political commentary and activism,['Political commentary and activism'],"['sinto medo ma nao calo apresentadora gabriela prioli desabafou ataques eleitores bolsonaro tor', 'sinto medo ma nao calo apresentadora gabriela prioli desabafou ataques eleitores bolsonaro tor', 'sinto medo ma nao calo apresentadora gabriela prioli desabafou ataques eleitores bolsonaro tor']",61.0
47,58,47_Estudante e engajamento político (Student and political engagement),['Estudante e engajamento político (Student and political engagement)'],"['acompanhar perfil estudante engajado paginas focam assunto politico q votou elegeu bota cim', 'acompanhar perfil estudante engajado paginas focam assunto politico q votou elegeu bota cim', 'acompanhar perfil estudante engajado paginas focam assunto politico q votou elegeu bota cim']",58.0
48,54,48_Misogyny and threats against women,['Misogyny and threats against women'],"['vgouvea gabriela prioli ofendida ameacada misogino rebateu sinto medo ma nao calo sabemos proposito direcionar', 'vgouvea gabriela prioli ofendida ameacada misogino rebateu sinto medo ma nao calo sabemos proposito direcionar', 'vgouvea gabriela prioli ofendida ameacada misogino rebateu sinto medo ma nao calo sabemos proposito direcionar']",54.0
49,48,49_Admiration for Gabriela Prioli,['Admiration for Gabriela Prioli'],"['gabriela prioli vera magalhaes so bonita', 'gabriela prioli vera magalhaes so bonita', 'gabriela prioli vera magalhaes so bonita']",48.0
50,47,50_No clear topic defined,['No clear topic defined'],"['filha curso politica gabriela prioli ta otima filha', 'filha curso politica gabriela prioli ta otima filha', 'filha curso politica gabriela prioli ta otima filha']",47.0
51,46,51_Political commentary on Bolsonaro,['Political commentary on Bolsonaro'],"['gabriela prioli vida bolsonaro marcada mediocridade tenente mediocre deputado medio', 'gabriela prioli vida bolsonaro marcada mediocridade tenente mediocre deputado medio', 'gabriela prioli vida bolsonaro marcada mediocridade tenente mediocre deputado medio']",46.0
52,41,52_Portuguese cultural references in modern society,['Portuguese cultural references in modern society'],"['saudade anitta achava existia vereador federal gabriela prioli pagar crime', 'saudade anitta achava existia vereador federal gabriela prioli pagar crime', 'saudade anitta achava existia vereador federal gabriela prioli pagar crime']",41.0
53,40,53_Academic studies and discussions on social media figures,['Academic studies and discussions on social media figures'],"['terminei estudar conteudo felipe neto gabriela prioli anitta belle belinha ja podem perguntar qualquer', 'terminei estudar conteudo felipe neto gabriela prioli anitta belle belinha ja podem perguntar qualquer', 'terminei estudar conteudo felipe neto gabriela prioli anitta belle belinha ja podem perguntar qualquer']",40.0
54,39,54_N/A (text does not provide clear contextual meaning),['N/A (text does not provide clear contextual meaning)'],"['jornalismo isento t livvsyy t t qpsnyqvbo', 'jornalismo isento t livvsyy t t qpsnyqvbo', 'jornalismo isento t livvsyy t t qpsnyqvbo']",39.0
55,37,55_Political affiliations of intellectuals in Brazil,['Political affiliations of intellectuals in Brazil'],"['leandro karnal gabriela prioli nao declararam apoio lula ate fatima bernades ma intelectuais nao', 'leandro karnal gabriela prioli nao declararam apoio lula ate fatima bernades ma intelectuais nao', 'leandro karnal gabriela prioli nao declararam apoio lula ate fatima bernades ma intelectuais nao']",37.0
56,36,56_Brazilian political violence and hate,['Brazilian political violence and hate'],"['odio tipo exportacao brasileiro tenta matar cristina kirchner odio machista mais mulher atacada bolsonaro', 'odio tipo exportacao brasileiro tenta matar cristina kirchner odio machista mais mulher atacada bolsonaro', 'odio tipo exportacao brasileiro tenta matar cristina kirchner odio machista mais mulher atacada bolsonaro']",36.0
57,32,57_Indecipherable text,['Indecipherable text'],"['alp nao sabia nem voce ma achei t pefqlih pb', 'alp nao sabia nem voce ma achei t pefqlih pb', 'alp nao sabia nem voce ma achei t pefqlih pb']",32.0
58,31,58_Social media discourse in Brazilian celebrity controversies,['Social media discourse in Brazilian celebrity controversies'],"['gabriela prioli funacionariazinha felipe neto nao falando gravida conseguira justificar', 'gabriela prioli funacionariazinha felipe neto nao falando gravida conseguira justificar', 'gabriela prioli funacionariazinha felipe neto nao falando gravida conseguira justificar']",31.0
